85 70 14 Thu Nov  8 14:36:32 2018
87 80 7 Thu Nov  8 14:37:31 2018
94 83 11 Thu Nov  8 14:38:32 2018
106 93 13 Thu Nov  8 14:39:31 2018
91 72 19 Thu Nov  8 14:40:31 2018
100 85 15 Thu Nov  8 14:41:31 2018
79 72 6 Thu Nov  8 14:42:31 2018
92 80 11 Thu Nov  8 14:43:32 2018
101 85 16 Thu Nov  8 14:44:31 2018
115 93 22 Thu Nov  8 14:45:31 2018
105 79 26 Thu Nov  8 14:46:31 2018
92 80 12 Thu Nov  8 14:47:31 2018
99 87 11 Thu Nov  8 14:48:31 2018
98 77 21 Thu Nov  8 14:49:31 2018
93 82 11 Thu Nov  8 14:50:31 2018
102 82 20 Thu Nov  8 14:51:31 2018
105 89 16 Thu Nov  8 14:52:33 2018
96 77 18 Thu Nov  8 14:53:31 2018
109 95 14 Thu Nov  8 14:54:31 2018
